시군구,성별,연령대,동반자유형,평점
강원 정선군,남,40대,가족,4.212121212121212
강원 정선군,남,40대,가족이 아닌 경우,4.111111111111111
강원 정선군,남,50대,가족,4.0
강원 정선군,남,50대,가족이 아닌 경우,4.0
강원 정선군,남,60대,가족,4.0476190476190474
강원 정선군,남,60대,가족이 아닌 경우,3.9333333333333327
강원 정선군,남,70세 이상,가족,4.333333333333333
강원 정선군,남,70세 이상,가족이 아닌 경우,4.0
강원 정선군,여,15~19세,가족이 아닌 경우,4.666666666666667
강원 정선군,여,20대,가족,4.0
강원 정선군,여,20대,가족이 아닌 경우,3.857142857142857
강원 정선군,여,30대,가족,4.142857142857143
강원 정선군,여,30대,가족이 아닌 경우,4.166666666666666
강원 정선군,여,40대,가족,4.0
강원 정선군,여,40대,가족이 아닌 경우,3.888888888888889
강원 정선군,여,50대,가족,4.121212121212121
강원 정선군,여,50대,가족이 아닌 경우,3.972222222222222
강원 정선군,여,60대,가족,4.233333333333333
강원 정선군,여,60대,가족이 아닌 경우,3.777777777777778
강원 정선군,여,70세 이상,가족,4.25
강원 정선군,여,70세 이상,가족이 아닌 경우,4.666666666666667
강원 철원군,남,15~19세,가족,4.111111111111111
강원 철원군,남,15~19세,가족이 아닌 경우,4.0
강원 철원군,남,20대,가족,4.0
강원 철원군,남,20대,가족이 아닌 경우,4.0
강원 철원군,남,30대,가족,4.0
강원 철원군,남,40대,가족,4.111111111111111
강원 철원군,남,50대,가족,4.166666666666667
강원 철원군,남,50대,가족이 아닌 경우,4.333333333333333
강원 철원군,남,60대,가족,4.444444444444445
강원 철원군,남,60대,가족이 아닌 경우,4.5
강원 철원군,남,70세 이상,가족,3.833333333333333
강원 철원군,남,70세 이상,가족이 아닌 경우,3.3333333333333335
강원 철원군,여,15~19세,가족이 아닌 경우,3.6666666666666665
강원 철원군,여,20대,가족,3.6666666666666665
강원 철원군,여,20대,가족이 아닌 경우,4.0
강원 철원군,여,30대,가족,4.111111111111111
강원 철원군,여,30대,가족이 아닌 경우,4.0
강원 철원군,여,40대,가족,4.5
강원 철원군,여,40대,가족이 아닌 경우,4.0
강원 철원군,여,50대,가족,3.75
강원 철원군,여,50대,가족이 아닌 경우,3.9166666666666665
강원 철원군,여,60대,가족,4.0
강원 철원군,여,60대,가족이 아닌 경우,4.444444444444444
강원 철원군,여,70세 이상,가족,4.444444444444444
강원 춘천시,남,15~19세,가족,4.066666666666667
강원 춘천시,남,15~19세,가족이 아닌 경우,3.8333333333333335
강원 춘천시,남,20대,가족,3.925925925925926
강원 춘천시,남,20대,가족이 아닌 경우,4.012121212121212
강원 춘천시,남,30대,가족,4.172413793103448
강원 춘천시,남,30대,가족이 아닌 경우,4.129032258064516
강원 춘천시,남,40대,가족,4.08080808080808
강원 춘천시,남,40대,가족이 아닌 경우,4.0476190476190474
강원 춘천시,남,50대,가족,3.976190476190476
강원 춘천시,남,50대,가족이 아닌 경우,4.0
강원 춘천시,남,60대,가족,3.9444444444444446
강원 춘천시,남,60대,가족이 아닌 경우,3.944444444444444
강원 춘천시,남,70세 이상,가족,4.166666666666667
강원 춘천시,남,70세 이상,가족이 아닌 경우,3.6666666666666665
강원 춘천시,여,15~19세,가족,3.888888888888889
강원 춘천시,여,15~19세,가족이 아닌 경우,4.208333333333333
강원 춘천시,여,20대,가족,4.1
강원 춘천시,여,20대,가족이 아닌 경우,4.0
강원 춘천시,여,30대,가족,4.0406504065040645
강원 춘천시,여,30대,가족이 아닌 경우,4.03030303030303
강원 춘천시,여,40대,가족,4.161616161616162
강원 춘천시,여,40대,가족이 아닌 경우,4.066666666666666
강원 춘천시,여,50대,가족,4.0
강원 춘천시,여,50대,가족이 아닌 경우,4.172413793103448
강원 춘천시,여,60대,가족,3.8666666666666663
강원 춘천시,여,60대,가족이 아닌 경우,4.066666666666666
강원 춘천시,여,70세 이상,가족,4.0
강원 춘천시,여,70세 이상,가족이 아닌 경우,3.9333333333333327
강원 태백시,남,15~19세,가족,4.333333333333333
강원 태백시,남,20대,가족,4.0
강원 태백시,남,20대,가족이 아닌 경우,4.0
강원 태백시,남,30대,가족,4.166666666666666
강원 태백시,남,30대,가족이 아닌 경우,4.0
강원 태백시,남,40대,가족,3.6
강원 태백시,남,40대,가족이 아닌 경우,4.333333333333334
강원 태백시,남,50대,가족,4.0740740740740735
강원 태백시,남,50대,가족이 아닌 경우,4.333333333333333
강원 태백시,남,60대,가족,3.777777777777778
강원 태백시,남,60대,가족이 아닌 경우,3.888888888888889
